step,time_s,x_robot,y_robot,angulo_grados,sensor_crudo,kalman,action
0,0.0,-0.375,0.375,-90.0,0.7224,0.9403,GIRANDO
1,0.032,-0.375,0.3749,-84.47,0.7775,0.9125,GIRANDO
2,0.064,-0.375,0.3749,-79.08,0.8017,0.894,GIRANDO
3,0.096,-0.375,0.3749,-73.97,0.8114,0.8805,GIRANDO
4,0.128,-0.375,0.3749,-69.15,0.7611,0.8667,GIRANDO
5,0.16,-0.375,0.3749,-64.89,0.806,0.8564,GIRANDO
6,0.192,-0.375,0.3749,-60.64,0.8735,0.8519,GIRANDO
7,0.224,-0.375,0.3749,-56.66,0.7602,0.8448,GIRANDO
8,0.256,-0.375,0.3749,-53.26,0.7649,0.8369,GIRANDO
9,0.288,-0.375,0.3749,-49.86,0.7611,0.8288,GIRANDO
10,0.32,-0.375,0.3749,-46.45,0.7894,0.8223,GIRANDO
11,0.352,-0.375,0.3749,-43.61,0.7662,0.816,GIRANDO
12,0.384,-0.375,0.3749,-40.78,0.7643,0.8099,GIRANDO
13,0.416,-0.375,0.3749,-38.22,0.7327,0.8029,GIRANDO
14,0.448,-0.375,0.3749,-35.67,0.7728,0.7974,GIRANDO
15,0.48,-0.375,0.3749,-33.4,0.7381,0.7915,GIRANDO
16,0.512,-0.375,0.3749,-31.42,0.7382,0.7856,GIRANDO
17,0.544,-0.375,0.3749,-29.43,0.7699,0.7814,GIRANDO
18,0.576,-0.375,0.3749,-27.44,0.7611,0.778,GIRANDO
19,0.608,-0.375,0.3749,-25.74,0.7634,0.7754,GIRANDO
20,0.64,-0.375,0.3749,-24.04,0.7585,0.773,GIRANDO
21,0.672,-0.375,0.3749,-22.34,0.7699,0.7715,GIRANDO
22,0.704,-0.375,0.3749,-20.92,0.7822,0.7711,GIRANDO
23,0.736,-0.375,0.3749,-19.78,0.7659,0.7706,GIRANDO
24,0.768,-0.375,0.3749,-18.37,0.7569,0.7697,GIRANDO
25,0.8,-0.375,0.3749,-17.23,0.7425,0.768,GIRANDO
26,0.832,-0.375,0.3749,-16.1,0.8,0.7683,GIRANDO
27,0.864,-0.375,0.3749,-15.24,0.7642,0.7684,GIRANDO
28,0.896,-0.375,0.3749,-14.11,0.7663,0.7683,GIRANDO
29,0.928,-0.375,0.3749,-13.26,0.7643,0.7681,GIRANDO
30,0.96,-0.375,0.3749,-12.41,0.7826,0.7686,GIRANDO
31,0.992,-0.375,0.3749,-11.56,0.8154,0.7709,GIRANDO
32,1.024,-0.375,0.3749,-10.99,0.7516,0.7715,GIRANDO
33,1.056,-0.375,0.3749,-10.14,0.7765,0.7721,GIRANDO
34,1.088,-0.375,0.3749,-9.57,0.7695,0.7723,GIRANDO
35,1.12,-0.375,0.3749,-9.0,0.7876,0.7731,GIRANDO
36,1.152,-0.375,0.3749,-8.44,0.769,0.7734,AVANZAR
37,1.184,-0.3725,0.3746,-8.29,0.7546,0.7706,AVANZAR
38,1.216,-0.37,0.3742,-8.29,0.7327,0.7666,AVANZAR
39,1.248,-0.3674,0.3738,-8.29,0.7542,0.763,AVANZAR
40,1.28,-0.3649,0.3735,-8.29,0.7453,0.7594,GIRANDO
41,1.312,-0.3649,0.3735,-7.73,0.7685,0.7592,AVANZAR
42,1.344,-0.3623,0.3731,-7.73,0.7802,0.7578,AVANZAR
43,1.376,-0.3598,0.3728,-7.73,0.7703,0.7568,AVANZAR
44,1.408,-0.3573,0.3724,-7.87,0.7494,0.7553,AVANZAR
45,1.44,-0.3548,0.3721,-7.73,0.7342,0.7528,AVANZAR
46,1.472,-0.3522,0.3717,-7.73,0.742,0.7502,AVANZAR
47,1.504,-0.3497,0.3714,-7.73,0.785,0.7495,GIRANDO
48,1.536,-0.3497,0.3714,-7.16,0.7407,0.7502,AVANZAR
49,1.568,-0.3471,0.3711,-7.16,0.756,0.7487,AVANZAR
50,1.6,-0.3446,0.3707,-7.16,0.7906,0.749,AVANZAR
51,1.632,-0.342,0.3704,-7.16,0.7877,0.7502,AVANZAR
52,1.664,-0.3395,0.3701,-7.3,0.7091,0.7485,GIRANDO
53,1.696,-0.3395,0.3701,-6.73,0.8033,0.7514,AVANZAR
54,1.728,-0.337,0.3698,-6.59,0.7524,0.751,AVANZAR
55,1.76,-0.3345,0.3695,-6.45,0.7313,0.7493,AVANZAR
56,1.792,-0.332,0.3692,-6.45,0.7585,0.748,AVANZAR
57,1.824,-0.3294,0.369,-6.45,0.7851,0.7481,AVANZAR
58,1.856,-0.3269,0.3687,-6.45,0.8175,0.7506,AVANZAR
59,1.888,-0.3244,0.3684,-6.59,0.7568,0.7518,AVANZAR
60,1.92,-0.3218,0.3681,-6.59,0.7686,0.7525,GIRANDO
61,1.952,-0.3218,0.3681,-6.02,0.7475,0.7543,AVANZAR
62,1.984,-0.3193,0.3678,-6.02,0.7512,0.753,AVANZAR
63,2.016,-0.3167,0.3675,-6.02,0.7599,0.7519,AVANZAR
64,2.048,-0.3142,0.3673,-5.88,0.7432,0.7502,AVANZAR
65,2.08,-0.3116,0.367,-5.88,0.7582,0.7489,AVANZAR
66,2.112,-0.3091,0.3668,-5.88,0.7882,0.7491,AVANZAR
67,2.144,-0.3066,0.3665,-6.02,0.776,0.7499,GIRANDO
68,2.176,-0.3066,0.3665,-5.46,0.8146,0.7546,AVANZAR
69,2.208,-0.304,0.3663,-5.46,0.7588,0.7555,AVANZAR
70,2.24,-0.3015,0.366,-5.46,0.7351,0.7544,AVANZAR
71,2.272,-0.2989,0.3658,-5.46,0.8252,0.7562,AVANZAR
72,2.304,-0.2964,0.3655,-5.31,0.7424,0.7561,AVANZAR
73,2.336,-0.2938,0.3653,-5.31,0.7245,0.7539,GIRANDO
74,2.368,-0.2938,0.3653,-4.75,0.7907,0.7558,CURVA_IZQUIERDA
75,2.4,-0.2922,0.3652,-2.9,0.8106,0.7579,AVANZAR
76,2.432,-0.2897,0.3651,-2.9,0.7603,0.7581,AVANZAR
77,2.464,-0.2871,0.3649,-2.9,0.7518,0.7572,AVANZAR
78,2.496,-0.2845,0.3648,-2.9,0.7342,0.7551,AVANZAR
79,2.528,-0.2819,0.3647,-2.9,0.7914,0.7547,AVANZAR
80,2.56,-0.2794,0.3645,-2.9,0.7362,0.753,AVANZAR
81,2.592,-0.2769,0.3644,-2.76,0.7752,0.7524,AVANZAR
82,2.624,-0.2744,0.3643,-2.9,0.7168,0.7498,AVANZAR
83,2.656,-0.2718,0.3642,-2.9,0.7714,0.7485,AVANZAR
84,2.688,-0.2692,0.364,-2.9,0.7756,0.7482,AVANZAR
85,2.72,-0.2666,0.3639,-2.9,0.7283,0.7466,AVANZAR
86,2.752,-0.2641,0.3638,-2.9,0.7629,0.7456,AVANZAR
87,2.784,-0.2615,0.3636,-2.9,0.7656,0.7453,AVANZAR
88,2.816,-0.259,0.3635,-2.76,0.7534,0.7448,AVANZAR
89,2.848,-0.2564,0.3634,-2.76,0.7583,0.7444,AVANZAR
90,2.88,-0.2539,0.3633,-2.9,0.7213,0.7426,AVANZAR
91,2.912,-0.2513,0.3631,-2.9,0.7933,0.743,AVANZAR
92,2.944,-0.2488,0.363,-2.9,0.79,0.7447,AVANZAR
93,2.976,-0.2462,0.3629,-2.9,0.7585,0.7456,GIRANDO
94,3.008,-0.2462,0.3629,-2.34,0.7104,0.7461,AVANZAR
95,3.04,-0.2436,0.3628,-2.34,0.7464,0.7443,AVANZAR
96,3.072,-0.241,0.3627,-2.34,0.8106,0.7454,AVANZAR
97,3.104,-0.2386,0.3626,-2.34,0.7385,0.7453,AVANZAR
98,3.136,-0.236,0.3625,-2.34,0.7789,0.7459,GIRANDO
99,3.168,-0.236,0.3625,-1.77,0.7612,0.7485,AVANZAR
100,3.2,-0.2335,0.3624,-1.77,0.802,0.7502,AVANZAR
101,3.232,-0.2309,0.3623,-1.77,0.7735,0.7516,GIRANDO
102,3.264,-0.2309,0.3623,-1.2,0.7568,0.7542,AVANZAR
103,3.296,-0.2283,0.3622,-1.2,0.7519,0.7534,AVANZAR
104,3.328,-0.2257,0.3622,-1.2,0.7557,0.7524,AVANZAR
105,3.36,-0.2232,0.3621,-1.2,0.8016,0.7533,WP_1
106,3.392,-0.2232,0.3621,-1.2,0.7391,0.7547,GIRANDO
107,3.424,-0.2232,0.3621,-5.46,0.8085,0.758,GIRANDO
108,3.456,-0.2232,0.3621,-9.43,0.7724,0.7605,GIRANDO
109,3.488,-0.2232,0.3621,-13.12,0.7495,0.7616,GIRANDO
110,3.52,-0.2232,0.3621,-16.66,0.7831,0.7632,GIRANDO
111,3.552,-0.2232,0.3621,-19.78,0.7574,0.7639,GIRANDO
112,3.584,-0.2232,0.3621,-22.9,0.7595,0.7641,GIRANDO
113,3.616,-0.2232,0.3621,-25.74,0.7615,0.7641,GIRANDO
114,3.648,-0.2232,0.3621,-28.44,0.7687,0.7642,GIRANDO
115,3.68,-0.2232,0.3622,-30.85,0.7439,0.7635,GIRANDO
116,3.712,-0.2232,0.3621,-33.26,0.7481,0.7624,GIRANDO
117,3.744,-0.2232,0.3622,-35.39,0.7309,0.7604,GIRANDO
118,3.776,-0.2232,0.3622,-37.37,0.7603,0.7591,GIRANDO
119,3.808,-0.2232,0.3621,-39.5,0.7573,0.7583,GIRANDO
120,3.84,-0.2232,0.3622,-41.35,0.7532,0.7576,GIRANDO
121,3.872,-0.2232,0.3621,-42.91,0.7102,0.755,GIRANDO
122,3.904,-0.2232,0.3622,-44.47,0.7033,0.7513,GIRANDO
123,3.936,-0.2232,0.3622,-45.88,0.7783,0.7503,GIRANDO
124,3.968,-0.2232,0.3622,-47.3,0.7886,0.7513,GIRANDO
125,4.0,-0.2232,0.3622,-48.72,0.7778,0.7531,GIRANDO
126,4.032,-0.2232,0.3622,-49.86,0.7402,0.7536,GIRANDO
127,4.064,-0.2232,0.3622,-50.99,0.726,0.7527,GIRANDO
128,4.096,-0.2232,0.3622,-52.13,0.7636,0.7526,GIRANDO
129,4.128,-0.2232,0.3622,-52.98,0.77,0.7533,GIRANDO
130,4.16,-0.2232,0.3621,-53.97,0.7477,0.7535,GIRANDO
131,4.192,-0.2232,0.3621,-54.82,0.7524,0.7535,GIRANDO
132,4.224,-0.2232,0.3622,-55.53,0.7881,0.7551,GIRANDO
133,4.256,-0.2232,0.3622,-56.38,0.7162,0.7544,GIRANDO
134,4.288,-0.2232,0.3621,-57.09,0.7539,0.7538,GIRANDO
135,4.32,-0.2232,0.3622,-57.8,0.6964,0.7511,GIRANDO
136,4.352,-0.2232,0.3622,-58.37,0.7977,0.7514,GIRANDO
137,4.384,-0.2232,0.3622,-58.93,0.7054,0.7496,AVANZAR
138,4.416,-0.2219,0.36,-58.93,0.784,0.7479,GIRANDO
139,4.448,-0.2219,0.36,-59.5,0.7401,0.748,AVANZAR
140,4.48,-0.2206,0.3577,-59.5,0.8198,0.749,AVANZAR
141,4.512,-0.2193,0.3555,-59.5,0.757,0.7493,AVANZAR
142,4.544,-0.218,0.3533,-59.64,0.7654,0.7496,AVANZAR
143,4.576,-0.2167,0.3511,-59.64,0.7678,0.7499,AVANZAR
144,4.608,-0.2154,0.349,-59.5,0.7488,0.7494,AVANZAR
145,4.64,-0.2141,0.3467,-59.5,0.7253,0.7473,GIRANDO
146,4.672,-0.2141,0.3467,-60.07,0.7994,0.7499,AVANZAR
147,4.704,-0.2128,0.3445,-60.07,0.7666,0.75,AVANZAR
148,4.736,-0.2116,0.3423,-60.07,0.757,0.7497,AVANZAR
149,4.768,-0.2103,0.3401,-60.07,0.7179,0.7475,AVANZAR
150,4.8,-0.209,0.3378,-60.07,0.6651,0.7419,AVANZAR
